"state","city","neighbourhood","lat","lng"
"Valle del Cauca","Cali","SANTA ELENA",3.4226427,-76.5242554
"Antioquia","Medellín","SANTA ELENA",6.2101749,-75.4982476
"Arauca","Arauca","SANTA FE",6.64115,-70.77195
"Cundinamarca","Bogotá D.C.","SANTA FE",4.6121433,-74.0708166
"Cundinamarca","Bogotá D.C.","SANTA FÉ",4.6121433,-74.0708166
"Valle del Cauca","Cali","SANTA FE",3.440212,-76.506188
"Antioquia","Medellín","SANTA FE",6.2219597,-75.5814386
"Antioquia","Medellín","SANTA FÉ",6.2219597,-75.5814386
"Nariño","Nariño","SANTA FÉ",1.2111811,-77.2787225
"Magdalena","Santa Marta","SANTA FÉ",11.23349435,-74.17855805
"Valle del Cauca","Cali","SANTA HELENA",3.4275603,-76.5242554
"Cundinamarca","Soacha","SANTA HELENA",4.67396365,-74.17812495
"Cundinamarca","Bogotá D.C.","SANTA HELENITA",4.690226,-74.1027315
"Cundinamarca","Bogotá D.C.","SANTA INES",4.61041795,-74.08787045
"Cundinamarca","Bogotá D.C.","SANTA INÉS",4.62163055,-74.08807
"La Guajira","Maicao","SANTA INES",11.38029325,-72.237702
"Cundinamarca","Bogotá D.C.","SANTA ISABEL",4.59954065,-74.1010871
"La Guajira","Maicao","SANTA ISABEL",11.3823507,-72.23780795
"Nariño","Nariño","SANTA ISABEL",4.60012035,-74.1007898
"Cundinamarca","Bogotá D.C.","SANTA LUCIA",4.5744401,-74.124835
"Cundinamarca","Bogotá D.C.","SANTA LUCÍA",4.57437925,-74.12490365
"Antioquia","Medellín","SANTA LUCIA",6.2579101,-75.6069872
"Antioquia","Medellín","SANTA LUCÍA",6.2579101,-75.6069872
"Nariño","Nariño","SANTA LUCÍA",1.01375,-77.18007
"Magdalena","Santa Marta","SANTA LUCÍA",11.2144264,-74.1866407
"Atlántico","Barranquilla","SANTA MARIA",10.9318663,-74.8236627
"Atlántico","Barranquilla","SANTA MARÍA",10.9318663,-74.8236627
"Santander","Bucaramanga","SANTA MARIA",7.11508245,-73.11944165
"Atlántico","Barranquilla","SANTA MARTA",10.99568845,-74.8102321
"Nariño","Nariño","SANTA MATILDE",4.598897,-74.10753655
"Cundinamarca","Bogotá D.C.","SANTA MÓNICA",4.6558496,-74.07259295
"Antioquia","Medellín","SANTA MÓNICA",6.2489119,-75.6084421
"Nariño","Nariño","SANTA MONICA",1.20378055,-77.2564011
"Nariño","Nariño","SANTA MÓNICA",1.2040787,-77.2564569
"Magdalena","Santa Marta","SANTA MONICA",11.23377295,-74.20560615
"Magdalena","Santa Marta","SANTA MÓNICA",11.22921675,-74.19989225
"Cundinamarca","Bogotá D.C.","SANTA RITA",4.59615815,-74.1236377
"Atlántico","Manatí","SANTA RITA",10.57142175,-74.9062665
"Antioquia","Medellín","SANTA RITA",6.3092011,-75.5473213
"Antioquia","Medellín","SANTA ROSA DE LIMA",6.2601598,-75.6066234
"Cundinamarca","Bogotá D.C.","SANTA ROSA",4.6935545,-74.0789876
"Bolivar","Cartagena","SANTA ROSA",10.445791,-75.368501
"Antioquia","Medellín","SANTA ROSA",6.25804385,-75.60391725
"Cundinamarca","Soacha","SANTA ROSA",4.5881915,-74.20479805
"Valle del Cauca","Cali","SANTA TERECITA",3.449486,-76.5524357
"Cundinamarca","Bogotá D.C.","SANTA VIVIANA",4.57737235,-74.1746321
"Antioquia","Medellín","SANTA",6.2101749,-75.4982476
"Bolivar","Cartagena","SANTADERES",10.4333843,-75.5418217
"Arauca","Arauca","SANTAFE",6.64115,-70.77195
"Antioquia","Medellín","SANTAFE",6.2219597,-75.5814386
"Nariño","Nariño","SANTAFE",1.36103,-77.04235
"Arauca","Arauca","SANTAFECITO",4.64856465,-74.0948491
"Norte de Santander","Villa del Rosario","SANTALUCIA",7.9057713,-72.4927514
"Santander","Bucaramanga","SANTANA",7.09078345,-73.1046351
"Magdalena","Santa Marta","SANTANA",11.23834845,-74.1911375
"Santander","Bucaramanga","SANTANDER",7.119349,-73.1227416
"Bolivar","Cartagena","SANTANDER",10.4333843,-75.5418217
"Norte de Santander","Cúcuta","SANTANDER",7.8898858,-72.497646
"La Guajira","Maicao","SANTANDER",11.3785836,-72.23694275
"Nariño","Nariño","SANTANDER",0.87406,-77.53451
"Norte de Santander","Villa del Rosario","SANTANDER",7.8437879,-72.4696897
"Cundinamarca","Bogotá D.C.","SANTANDERCITO",4.615495,-74.33952725
"Cundinamarca","Bogotá D.C.","SANTANDERSITO",4.5949463,-74.3430596
"Nariño","Nariño","SANTANITA",1.61808,-78.68923
"Valle del Cauca","Cali","SANTE FE",3.440212,-76.506188
"Valle del Cauca","Cali","SANTIAGO DE CALI",3.4516467,-76.5319854
"Nariño","Nariño","SANTIAGO",4.5891648,-74.10568815
